OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PUBLIC_PCT,Shape__Area,Shape__Length
71038,39035153107,39,035,153107,,,,,7692196.95703125,19763.1388057167
71059,39035177608,39,035,177608,,,19,1.67999995,7891353.83203125,14147.5902549464
71060,39035177609,39,035,177609,,,,,4830440.171875,10090.8848515556
71061,39035178101,39,035,178101,,,,,3223308.16015625,7538.37699598144
71062,39035178102,39,035,178102,,,,,3912204.97265625,8527.29183049067
71063,39035179101,39,035,179101,,,,,14942337.53125,16680.8889498474
71064,39035121700,39,035,121700,,,82,19.47999954,2160856.015625,6279.21612216464
71068,39035188106,39,035,188106,,,50,7.69000006,1952923.7109375,6760.55358408184
71094,39035123100,39,035,123100,,,,,2104681.078125,6308.74250422906
71119,39035154502,39,035,154502,,,63,11.72999954,6060870.64453125,13046.4850094444
71120,39035154601,39,035,154601,,,146,16.37000084,4426230.37109375,11031.2614370242
71121,39035154603,39,035,154603,,,43,11.77999973,2248454.76171875,7274.80239095048
71122,39035154604,39,035,154604,,,63,13.13000011,2550036.05859375,7101.18731384959
71123,39035155101,39,035,155101,,,,,18269955.9960938,18071.5002394062
71124,39035156101,39,035,156101,,,,,16135004.4375,21797.1744723045
71139,39035179102,39,035,179102,,,,,18096856.4257813,19730.9400832173
71140,39035180102,39,035,180102,,,,,7455499.96484375,14318.9890262326
71141,39035180103,39,035,180103,,,,,8645003.44140625,16450.6074698691
71142,39035181100,39,035,181100,,,,,7186694.65625,12974.5419481988
71169,39035104800,39,035,104800,,,72,14.52000046,6062253.49609375,14369.2991636022
71257,39035103602,39,035,103602,,,35,1.96000004,4461147.55859375,15910.8382233631
71258,39035107101,39,035,107101,,,,,6698924.0625,23334.1473536922
71259,39035111202,39,035,111202,,,31,8.81000042,5301859.484375,16105.4634277283
71260,39035152303,39,035,152303,,,42,7.05999994,6117514.5078125,11955.0895789711
71275,39035116500,39,035,116500,,,61,10.86999989,1443746.96875,5275.24484007426
71276,39035116700,39,035,116700,,,44,14.81000042,1907579.12109375,5982.04062956133
71277,39035116900,39,035,116900,,,41,12.19999981,1264461.5546875,5077.60218825823
71358,39035117101,39,035,117101,,,83,13.64999962,1716307.6171875,6680.63164469707
71359,39035117201,39,035,117201,,,143,9.02999973,1460924.08203125,5287.71168299365
71396,39035138106,39,035,138106,,,,,4509673.58203125,9969.0155222364
71471,39035103800,39,035,103800,,,23,5.96999979,1561989.421875,6400.35897661256
71483,39035177202,39,035,177202,,,16,4.23000002,2084000.95703125,5820.6984035097
